ProjectID,ProjectDuration,TotalSpent,TotalBudget,CPI,StartingDate,FinishDate,ProjectYear,WorkTypeId,ProjectCategoryId,ProjectTypeId,City,ProjectAreaCode,ProjectDirectors,ClientName,AreaName,CountryName,MainDesignOffice,Budgetspentpercentage
2992,50,56558,4210.75,26.86,28/02/2007 0:00,20/06/2014 0:00,2007,3,2,1,Dakar,55,Bashar Rihani,SBG,Senegal,Senegal,38,1343.18
2992,60,59149.35,4210.75,23.41,28/02/2007 0:00,20/06/2014 0:00,2007,3,2,1,Dakar,55,Bashar Rihani,SBG,Senegal,Senegal,38,1404.72
2992,70,60641.25,4210.75,20.57,28/02/2007 0:00,20/06/2014 0:00,2007,3,2,1,Dakar,55,Bashar Rihani,SBG,Senegal,Senegal,38,1440.15
2992,80,61716,4210.75,18.32,28/02/2007 0:00,20/06/2014 0:00,2007,3,2,1,Dakar,55,Bashar Rihani,SBG,Senegal,Senegal,38,1465.68
2992,10,7379.75,4210.75,17.53,28/02/2007 0:00,20/06/2014 0:00,2007,3,2,1,Dakar,55,Bashar Rihani,SBG,Senegal,Senegal,38,175.26
2992,20,16336.75,4210.75,19.4,28/02/2007 0:00,20/06/2014 0:00,2007,3,2,1,Dakar,55,Bashar Rihani,SBG,Senegal,Senegal,38,387.98
2999,50,20910.75,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
2999,60,21180.75,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
2999,70,21414.25,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
2999,80,21797,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
2999,90,21922.25,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
2999,100,21986.25,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
2999,10,4996.25,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
2999,20,11427.05,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
2999,30,18674,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
2999,40,20357,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
3000,10,3606.75,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
3000,20,13340.5,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
3000,30,27932,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
3000,40,41562.65,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
3000,50,55814.25,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
3000,60,67678.85,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
3000,70,70598.75,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
3000,80,71791.5,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
3000,90,71803,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
3000,100,72195.75,NULL,0,NULL,NULL,NULL,1,1,1,Tripoli,61,Joseph Hajjar,MAGNA HOLDINGS LIMITED,Libya,Libya,39,0
7126,90,523,NULL,0,NULL,NULL,NULL,3,1,1,NA,20,Saba Abdo,DAR AL-HANDASAH CONSULTANTS (SHAIR AND PARTNERS),Head Office,Lebanon,NULL,0
7126,100,525.25,NULL,0,NULL,NULL,NULL,3,1,1,NA,20,Saba Abdo,DAR AL-HANDASAH CONSULTANTS (SHAIR AND PARTNERS),Head Office,Lebanon,NULL,0
7126,30,523,NULL,0,NULL,NULL,NULL,3,1,1,NA,20,Saba Abdo,DAR AL-HANDASAH CONSULTANTS (SHAIR AND PARTNERS),Head Office,Lebanon,NULL,0
7126,40,523,NULL,0,NULL,NULL,NULL,3,1,1,NA,20,Saba Abdo,DAR AL-HANDASAH CONSULTANTS (SHAIR AND PARTNERS),Head Office,Lebanon,NULL,0
7126,50,523,NULL,0,NULL,NULL,NULL,3,1,1,NA,20,Saba Abdo,DAR AL-HANDASAH CONSULTANTS (SHAIR AND PARTNERS),Head Office,Lebanon,NULL,0
